Слово,TF-IDF
узнавать,0.9123794350336767
кандидат,0.9119227182756785
график,0.9109329294302891
закладывать,0.9099269362187172
спикер,0.9093112406215721
гость,0.9089938399966193
терапия,0.9088029862317888
накануне,0.9086181722850011
спутник,0.9082236995964228
колледж,0.9057399421233298
должно,0.9053578295548417
иллюминация,0.9032661904190314
остановка,0.9021194322327526
экономика,0.9018018471209335
навык,0.9004756469896725
нимц,0.8994710413322424
преимущественно,0.8994624699023172
трудовой,0.8993182724427152
единый,0.8983067140641154
крайний,0.8978551708912963
дежурный,0.8976964551584126
застройщик,0.8976571094798802
сравнение,0.8952010814071074
необходимость,0.8942028927995741
артем,0.8937893268832379
захоронение,0.8935249251033264
анализ,0.892631746569173
тусура,0.8921877709378757
распродажа,0.8905605166760286
семейный,0.8903524706807857
тск,0.8901553872474864
красный,0.8879044310314232
консорциум,0.8877389699097216
зеленый,0.8874439721038961
киевский,0.8872358116754165
впервые,0.8868495081033544
логистика,0.886391054247631
спектакль,0.8861970335561459
лес,0.8848321203034473
обь,0.884779872646141
эксперимент,0.8845661839412577
преподаватель,0.8841923957495879
здоровье,0.8841224923381168
банковский,0.8836861442500487
профилактика,0.8836728843583668
посетитель,0.8824256649278216
элемент,0.8816336828477838
общество,0.8807824086227529
наследие,0.878600735568458
буффсад,0.8780787703447773
август,0.87780919993532
использование,0.8777347063910039
обслуживание,0.8772323558603848
исполнять,0.8756770129282248
замгубернатор,0.8750909922909762
качественный,0.8741865359103127
особенность,0.8739262736170983
предусмотренный,0.8732230348049966
онлайнсервис,0.872824642240106
интерес,0.8722798288733666
публичный,0.8704278686487084
библиотека,0.8699240625761313
сразу,0.8685176286217947
александровский,0.8666505200008658
практически,0.8665259870940508
крыша,0.8635207659203284
подробно,0.8612230465409028
северозападный,0.8606066893515077
автобус,0.858555031220233
строительный,0.8580303537334939
приобретать,0.8578999450448456
поясняться,0.8577712307409213
повестка,0.8577093942165512
томскэнергосбыт,0.8574578764244112
кадр,0.8569655400025583
состоять,0.8552366764400451
называть,0.8550652238097479
заказ,0.8549799330210699
взять,0.8541220262997478
валерий,0.8536300928587416
фильм,0.8520078830252896
белинский,0.8508703119205887
ограничивать,0.8501258363608291
градостроительный,0.8495183769372203
изучать,0.8480999217333209
основание,0.8472114549282042
органный,0.8467520638830748
получение,0.846306638038008
список,0.8459361798363157
промышленный,0.8442276223784667
холдинг,0.8439138273309141
памятник,0.8421962132950606
потратить,0.8419593309027986
высоко,0.841776351095462
карташов,0.8400408341823982
связывать,0.8394140206878048
наличие,0.8390169962638168
вещь,0.8387842613859451
практика,0.8378005069819792
спасать,0.8374248513582181
вернуть,0.8360132138342043
назначать,0.8357929416425259
